ts,action,type,symbol,side,qty,price,stopPrice,limitPrice,tif,orderId,linkId,result,sliceIndex,totalSlices
2025-08-11T06:55:10Z,place_order,,,,,,,,,FAKE-ba1ac9bb,,,,
2025-08-11T06:55:53Z,,,,,,,,,,,,,,
2025-08-11T06:55:53Z,,,,,,,,,,,,,,
2025-08-11T06:57:46Z,place_order,,,,,,,,,FAKE-4d01a10f,,,,
2025-08-11T06:57:46Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-4d01a10f,,ok,,
2025-08-11T06:57:50Z,validate,,,,,,,,,,,,,
2025-08-11T06:57:55Z,place_order,,,,,,,,,FAKE-359971b2,,,,
2025-08-11T06:57:55Z,place_order,MARKET,ETHUSDT,SELL,2.5,,,,,FAKE-359971b2,,ok,,
2025-08-11T06:57:59Z,validate,,,,,,,,,,,,,
2025-08-11T06:58:04Z,validate,,,,,,,,,,,,,
2025-08-11T06:58:23Z,place_order,,,,,,,,,FAKE-7d1a4835,,,,
2025-08-11T06:58:23Z,place_order,MARKET,DOGEUSDT,BUY,1000.0,,,,,FAKE-7d1a4835,,ok,,
2025-08-11T06:58:23Z,place_order,,,,,,,,,FAKE-f40fcb9b,,,,
2025-08-11T06:58:23Z,place_order,MARKET,SOLUSDT,SELL,0.5,,,,,FAKE-f40fcb9b,,ok,,
2025-08-11T07:01:09Z,place_order,,,,,,,,,FAKE-9eadcf89,,,,
2025-08-11T07:01:09Z,place_order,LIMIT,BTCUSDT,SELL,0.001,65000.0,,,GTC,FAKE-9eadcf89,,ok,,
2025-08-11T07:01:16Z,validate,LIMIT,,,,,,,,,,,,
2025-08-11T07:01:23Z,place_order,,,,,,,,,FAKE-11e67390,,,,
2025-08-11T07:01:23Z,place_order,LIMIT,ETHUSDT,BUY,2.5,3000.5,,,GTC,FAKE-11e67390,,ok,,
2025-08-11T07:01:30Z,validate,LIMIT,,,,,,,,,,,,
2025-08-11T07:01:37Z,validate,LIMIT,,,,,,,,,,,,
2025-08-11T07:02:20Z,place_order,,,,,,,,,FAKE-b7d59417,,,,
2025-08-11T07:02:20Z,place_order,LIMIT,SOLUSDT,SELL,10.0,150.75,,,GTC,FAKE-b7d59417,,ok,,
2025-08-11T07:02:27Z,place_order,,,,,,,,,FAKE-b3c77635,,,,
2025-08-11T07:02:27Z,place_order,LIMIT,DOGEUSDT,BUY,5000.0,0.1,,,GTC,FAKE-b3c77635,,ok,,
2025-08-11T07:02:41Z,place_order,,,,,,,,,FAKE-2adf2b5a,,,,
2025-08-11T07:02:41Z,place_order,LIMIT,BTCUSDT,BUY,1e-05,100000.12345,,,GTC,FAKE-2adf2b5a,,ok,,
2025-08-11T07:02:47Z,validate,LIMIT,,,,,,,,,,,,
2025-08-11T07:03:00Z,place_order,,,,,,,,,FAKE-2d1d8297,,,,
2025-08-11T07:03:00Z,place_order,MARKET,BTCUSDT,BUY,0.5,,,,,FAKE-2d1d8297,,ok,,
2025-08-11T07:03:00Z,place_order,,,,,,,,,FAKE-fcc7fad3,,,,
2025-08-11T07:03:00Z,place_order,LIMIT,BTCUSDT,SELL,0.5,70000.0,,,GTC,FAKE-fcc7fad3,,ok,,
2025-08-11T07:04:38Z,place_order,,,,,,,,,FAKE-6e0708c1,,,,
2025-08-11T07:04:38Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-6e0708c1,,ok,,
2025-08-11T07:04:47Z,validate,STOP_LIMIT,,,,,,,,,,,,
2025-08-11T07:04:55Z,place_order,,,,,,,,,FAKE-b3d622e2,,,,
2025-08-11T07:04:55Z,place_order,STOP_LIMIT,BTCUSDT,BUY,0.001,,59800.0,60000.0,GTC,FAKE-b3d622e2,,ok,,
2025-08-11T07:05:02Z,place_order,,,,,,,,,FAKE-c9be835f,,,,
2025-08-11T07:05:02Z,place_order,STOP_LIMIT,BTCUSDT,BUY,0.001,,60000.0,60500.0,GTC,FAKE-c9be835f,,ok,,
2025-08-11T07:05:19Z,validate,STOP_LIMIT,,,,,,,,,,,,
2025-08-11T07:05:34Z,place_order,,,,,,,,,FAKE-23a11624,,,,
2025-08-11T07:05:34Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-23a11624,,ok,,
2025-08-11T07:05:41Z,validate,STOP_LIMIT,,,,,,,,,,,,
2025-08-11T07:05:50Z,place_order,,,,,,,,,FAKE-0abb7319,,,,
2025-08-11T07:05:50Z,place_order,STOP_LIMIT,BTCUSDT,BUY,0.001,,59800.0,60000.0,GTC,FAKE-0abb7319,,ok,,
2025-08-11T07:05:57Z,place_order,,,,,,,,,FAKE-ebc05b8d,,,,
2025-08-11T07:05:57Z,place_order,STOP_LIMIT,BTCUSDT,BUY,0.001,,60000.0,60500.0,GTC,FAKE-ebc05b8d,,ok,,
2025-08-11T07:06:05Z,validate,STOP_LIMIT,,,,,,,,,,,,
2025-08-11T07:06:13Z,place_order,,,,,,,,,FAKE-57133825,,,,
2025-08-11T07:06:13Z,place_order,STOP_LIMIT,ETHUSDT,SELL,2.0,,3000.0,3000.0,IOC,FAKE-57133825,,ok,,
2025-08-11T07:06:31Z,validate,STOP_LIMIT,,,,,,,,,,,,
2025-08-11T07:06:39Z,validate,STOP_LIMIT,,,,,,,,,,,,
2025-08-11T07:07:10Z,place_order,,,,,,,,,FAKE-99048533,,,,
2025-08-11T07:07:10Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.5,,65000.0,64900.0,GTC,FAKE-99048533,,ok,,
2025-08-11T07:07:10Z,place_order,,,,,,,,,FAKE-da57baaf,,,,
2025-08-11T07:07:10Z,place_order,STOP_LIMIT,BTCUSDT,BUY,0.5,,64000.0,64100.0,FOK,FAKE-da57baaf,,ok,,
2025-08-11T07:11:01Z,place_order,,,,,,,,,FAKE-7119e14a,,,,
2025-08-11T07:11:01Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-7119e14a,,ok,,
2025-08-11T07:11:40Z,place_order,,,,,,,,,FAKE-57474e1e,,,,
2025-08-11T07:11:40Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-57474e1e,,ok,,
2025-08-11T07:12:07Z,place_order,,,,,,,,,FAKE-61501c82,,,,
2025-08-11T07:12:07Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-61501c82,,ok,,
2025-08-11T07:12:14Z,validate,STOP_LIMIT,,,,,,,,,,,,
2025-08-11T07:12:21Z,place_order,,,,,,,,,FAKE-074a85ee,,,,
2025-08-11T07:12:21Z,place_order,STOP_LIMIT,BTCUSDT,BUY,0.001,,59800.0,60000.0,GTC,FAKE-074a85ee,,ok,,
2025-08-11T07:13:46Z,place_order,,,,,,,,,FAKE-f239c4bb,,,,
2025-08-11T07:13:46Z,place_order,,,,,,,,,FAKE-4e067748,,,,
2025-08-11T07:13:46Z,place_oco,,BTCUSDT,SELL,0.001,,59000.0,,,,OCO-696bc019,ok,,
2025-08-11T07:13:54Z,place_order,,,,,,,,,FAKE-68064dcd,,,,
2025-08-11T07:13:54Z,place_order,,,,,,,,,FAKE-b40eb0df,,,,
2025-08-11T07:13:54Z,place_oco,,BTCUSDT,SELL,0.001,,59000.0,,,,OCO-9811c2b5,ok,,
2025-08-11T07:14:02Z,place_order,,,,,,,,,FAKE-076ffb63,,,,
2025-08-11T07:14:02Z,place_order,,,,,,,,,FAKE-4b9665f4,,,,
2025-08-11T07:14:02Z,place_oco,,BTCUSDT,BUY,0.001,,61000.0,,,,OCO-8331084a,ok,,
2025-08-11T07:14:09Z,validate,OCO,,,,,,,,,,,,
2025-08-11T07:14:18Z,validate,OCO,,,,,,,,,,,,
2025-08-11T07:14:49Z,validate,OCO,,,,,,,,,,,,
2025-08-11T07:15:07Z,place_order,,,,,,,,,FAKE-bddc9cb7,,,,
2025-08-11T07:15:07Z,place_order,,,,,,,,,FAKE-2f25a7d3,,,,
2025-08-11T07:15:07Z,place_oco,,ETHUSDT,SELL,1.0,,2800.0,,,,OCO-046b3eb1,ok,,
2025-08-11T07:15:07Z,place_order,,,,,,,,,FAKE-a57ca133,,,,
2025-08-11T07:15:07Z,place_order,,,,,,,,,FAKE-ddf39200,,,,
2025-08-11T07:15:07Z,place_oco,,ETHUSDT,BUY,1.0,,3200.0,,,,OCO-d05ccc10,ok,,
2025-08-11T07:27:33Z,place_order,,,,,,,,,FAKE-790b996a,,,,
2025-08-11T07:27:33Z,place_entry,MARKET,BTCUSDT,BUY,0.002,,,,,FAKE-790b996a,BRK-69edec05,ok,,
2025-08-11T07:27:34Z,place_order,,,,,,,,,FAKE-0a7a87f8,,,,
2025-08-11T07:27:34Z,place_exit_tp,,BTCUSDT,SELL,0.002,62000.0,,,,FAKE-0a7a87f8,BRK-69edec05,ok,,
2025-08-11T07:27:34Z,place_order,,,,,,,,,FAKE-6d903e4c,,,,
2025-08-11T07:27:34Z,place_exit_sl,,BTCUSDT,SELL,0.002,,59000.0,,,FAKE-6d903e4c,BRK-69edec05,ok,,
2025-08-11T07:27:44Z,place_order,,,,,,,,,FAKE-99c25b70,,,,
2025-08-11T07:27:44Z,place_entry,LIMIT,BTCUSDT,SELL,0.002,65000.0,,,,FAKE-99c25b70,BRK-239a17b7,ok,,
2025-08-11T07:27:44Z,place_order,,,,,,,,,FAKE-dc4dbabc,,,,
2025-08-11T07:27:44Z,place_exit_tp,,BTCUSDT,BUY,0.002,64000.0,,,,FAKE-dc4dbabc,BRK-239a17b7,ok,,
2025-08-11T07:27:44Z,place_order,,,,,,,,,FAKE-30d82ff0,,,,
2025-08-11T07:27:44Z,place_exit_sl,,BTCUSDT,BUY,0.002,,66000.0,,,FAKE-30d82ff0,BRK-239a17b7,ok,,
2025-08-11T07:27:53Z,place_order,,,,,,,,,FAKE-9c287c00,,,,
2025-08-11T07:27:53Z,place_entry,LIMIT,ETHUSDT,BUY,1.5,3000.0,,,,FAKE-9c287c00,BRK-4219c055,ok,,
2025-08-11T07:27:53Z,place_order,,,,,,,,,FAKE-8c9ddfba,,,,
2025-08-11T07:27:53Z,place_exit_tp,,ETHUSDT,SELL,1.5,3200.0,,,,FAKE-8c9ddfba,BRK-4219c055,ok,,
2025-08-11T07:27:53Z,place_order,,,,,,,,,FAKE-19a01b3c,,,,
2025-08-11T07:27:53Z,place_exit_sl,,ETHUSDT,SELL,1.5,,2800.0,,,FAKE-19a01b3c,BRK-4219c055,ok,,
2025-08-11T07:28:01Z,validate,BRACKET,,,,,,,,,,,,
2025-08-11T07:28:08Z,validate,BRACKET,,,,,,,,,,,,
2025-08-11T07:28:15Z,validate,BRACKET,,,,,,,,,,,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-f09dd990,,,,
2025-08-11T07:28:51Z,place_entry,MARKET,SOLUSDT,BUY,5.0,,,,,FAKE-f09dd990,BRK-a888c2c2,ok,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-774df11c,,,,
2025-08-11T07:28:51Z,place_exit_tp,,SOLUSDT,SELL,5.0,160.0,,,,FAKE-774df11c,BRK-a888c2c2,ok,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-112c6f04,,,,
2025-08-11T07:28:51Z,place_exit_sl,,SOLUSDT,SELL,5.0,,140.0,,,FAKE-112c6f04,BRK-a888c2c2,ok,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-d5c689dd,,,,
2025-08-11T07:28:51Z,place_entry,LIMIT,DOGEUSDT,SELL,1000.0,0.12,,,,FAKE-d5c689dd,BRK-6a418bf4,ok,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-c0e17d52,,,,
2025-08-11T07:28:51Z,place_exit_tp,,DOGEUSDT,BUY,1000.0,0.1,,,,FAKE-c0e17d52,BRK-6a418bf4,ok,,
2025-08-11T07:28:51Z,place_order,,,,,,,,,FAKE-7840fdb8,,,,
2025-08-11T07:28:51Z,place_exit_sl,,DOGEUSDT,BUY,1000.0,,0.14,,,FAKE-7840fdb8,BRK-6a418bf4,ok,,
2025-08-11T07:30:55Z,place_order,,,,,,,,,FAKE-68320bb7,,,,
2025-08-11T07:30:55Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-68320bb7,,ok,,
2025-08-11T07:31:45Z,place_order,,,,,,,,,FAKE-aea09a45,,,,
2025-08-11T07:31:45Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-aea09a45,,ok,,
2025-08-11T07:31:46Z,place_order,,,,,,,,,FAKE-b661e0e9,,,,
2025-08-11T07:31:46Z,place_order,LIMIT,ETHUSDT,SELL,1.0,3200.0,,,GTC,FAKE-b661e0e9,,ok,,
2025-08-11T07:31:46Z,place_order,,,,,,,,,FAKE-06aaa03b,,,,
2025-08-11T07:31:46Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-06aaa03b,,ok,,
2025-08-11T07:32:09Z,order_attempt_failed,,,,,,,,,,,,,
2025-08-11T07:32:10Z,retry_attempt,,,,,,,,,,,,,
2025-08-11T07:32:10Z,place_order,,,,,,,,,FAKE-93954de2,,,,
2025-08-11T07:32:10Z,place_order,MARKET,TESTUSDT,BUY,0.001,,,,,FAKE-93954de2,,ok,,
2025-08-11T07:32:58Z,place_order,,,,,,,,,FAKE-4ee805c1,,,,
2025-08-11T07:32:58Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-4ee805c1,,ok,,
2025-08-11T07:32:58Z,place_order,,,,,,,,,FAKE-adbd34bb,,,,
2025-08-11T07:32:58Z,place_order,LIMIT,ETHUSDT,SELL,1.0,3200.0,,,GTC,FAKE-adbd34bb,,ok,,
2025-08-11T07:32:58Z,place_order,,,,,,,,,FAKE-a5de6caf,,,,
2025-08-11T07:32:58Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-a5de6caf,,ok,,
2025-08-11T07:35:17Z,place_order,,,,,,,,,FAKE-60e512c6,,,,
2025-08-11T07:35:17Z,place_order,,,,,,,,,FAKE-22718401,,,,
2025-08-11T07:35:17Z,place_oco,,BTCUSDT,SELL,0.01,,105000.0,,,,OCO-0fd809ce,ok,,
2025-08-11T07:35:24Z,place_order,,,,,,,,,FAKE-5da943fe,,,,
2025-08-11T07:35:24Z,place_entry,MARKET,BTCUSDT,BUY,0.01,,,,,FAKE-5da943fe,BRK-62e73938,ok,,
2025-08-11T07:35:24Z,place_order,,,,,,,,,FAKE-a8bd1429,,,,
2025-08-11T07:35:24Z,place_exit_tp,,BTCUSDT,SELL,0.01,105000.0,,,,FAKE-a8bd1429,BRK-62e73938,ok,,
2025-08-11T07:35:24Z,place_order,,,,,,,,,FAKE-af475d8e,,,,
2025-08-11T07:35:24Z,place_exit_sl,,BTCUSDT,SELL,0.01,,95000.0,,,FAKE-af475d8e,BRK-62e73938,ok,,
2025-08-11T07:35:57Z,place_order,,,,,,,,,FAKE-46035361,,,,
2025-08-11T07:35:57Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-46035361,,ok,,
2025-08-11T07:36:04Z,place_order,,,,,,,,,FAKE-acc2ba43,,,,
2025-08-11T07:36:04Z,place_order,LIMIT,ETHUSDT,SELL,0.01,3400.0,,,GTC,FAKE-acc2ba43,,ok,,
2025-08-11T07:36:24Z,place_order,,,,,,,,,FAKE-ea5a19fa,,,,
2025-08-11T07:36:24Z,place_order,STOP_LIMIT,ADAUSDT,BUY,10.0,,0.45,0.47,GTC,FAKE-ea5a19fa,,ok,,
2025-08-11T07:44:32Z,twap_start,,BTCUSDT,BUY,,,,,,,TWAP-f9a4e2ca,,,
2025-08-11T07:44:32Z,place_order,,,,,,,,,FAKE-48bda36b,,,,
2025-08-11T07:44:32Z,twap_slice,,BTCUSDT,BUY,0.0033333333333333335,,,,,FAKE-48bda36b,TWAP-f9a4e2ca,ok,1,3
2025-08-11T07:44:34Z,place_order,,,,,,,,,FAKE-13a6613a,,,,
2025-08-11T07:44:34Z,twap_slice,,BTCUSDT,BUY,0.0033333333333333335,,,,,FAKE-13a6613a,TWAP-f9a4e2ca,ok,2,3
2025-08-11T07:44:36Z,place_order,,,,,,,,,FAKE-de98c881,,,,
2025-08-11T07:44:36Z,twap_slice,,BTCUSDT,BUY,0.003333333333333333,,,,,FAKE-de98c881,TWAP-f9a4e2ca,ok,3,3
2025-08-11T07:44:36Z,twap_complete,,BTCUSDT,BUY,,,,,,,TWAP-f9a4e2ca,ok,,
2025-08-11T07:44:55Z,place_order,,,,,,,,,FAKE-470f62cb,,,,
2025-08-11T07:44:55Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-470f62cb,,ok,,
2025-08-11T07:45:02Z,place_order,,,,,,,,,FAKE-ad7eebc9,,,,
2025-08-11T07:45:02Z,place_order,LIMIT,ETHUSDT,SELL,0.01,3500.0,,,GTC,FAKE-ad7eebc9,,ok,,
2025-08-11T07:45:10Z,place_order,,,,,,,,,FAKE-1aad47f5,,,,
2025-08-11T07:45:10Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-1aad47f5,,ok,,
2025-08-11T07:45:19Z,place_order,,,,,,,,,FAKE-8bd7fa0b,,,,
2025-08-11T07:45:19Z,place_order,,,,,,,,,FAKE-4e1c1268,,,,
2025-08-11T07:45:19Z,place_oco,,BTCUSDT,SELL,0.001,,59000.0,,,,OCO-be4eb47d,ok,,
2025-08-11T07:45:27Z,place_order,,,,,,,,,FAKE-b07d8eed,,,,
2025-08-11T07:45:27Z,place_entry,MARKET,BTCUSDT,BUY,0.002,,,,,FAKE-b07d8eed,BRK-0fed99cd,ok,,
2025-08-11T07:45:27Z,place_order,,,,,,,,,FAKE-bdd27fdd,,,,
2025-08-11T07:45:27Z,place_exit_tp,,BTCUSDT,SELL,0.002,62000.0,,,,FAKE-bdd27fdd,BRK-0fed99cd,ok,,
2025-08-11T07:45:27Z,place_order,,,,,,,,,FAKE-f1eaef57,,,,
2025-08-11T07:45:27Z,place_exit_sl,,BTCUSDT,SELL,0.002,,59000.0,,,FAKE-f1eaef57,BRK-0fed99cd,ok,,
2025-08-11T07:46:30Z,twap_start,,ETHUSDT,SELL,,,,,,,TWAP-98bf1de7,,,
2025-08-11T07:46:30Z,place_order,,,,,,,,,FAKE-3dc5e6d3,,,,
2025-08-11T07:46:30Z,twap_slice,,ETHUSDT,SELL,0.016666666666666666,,,,,FAKE-3dc5e6d3,TWAP-98bf1de7,ok,1,3
2025-08-11T07:46:31Z,place_order,,,,,,,,,FAKE-bee362bd,,,,
2025-08-11T07:46:31Z,twap_slice,,ETHUSDT,SELL,0.016666666666666666,,,,,FAKE-bee362bd,TWAP-98bf1de7,ok,2,3
2025-08-11T07:46:32Z,place_order,,,,,,,,,FAKE-a638c9b3,,,,
2025-08-11T07:46:32Z,twap_slice,,ETHUSDT,SELL,0.01666666666666667,,,,,FAKE-a638c9b3,TWAP-98bf1de7,ok,3,3
2025-08-11T07:46:32Z,twap_complete,,ETHUSDT,SELL,,,,,,,TWAP-98bf1de7,ok,,
2025-08-11T07:46:59Z,place_order,,,,,,,,,FAKE-70d4988f,,,,
2025-08-11T07:46:59Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-70d4988f,,ok,,
2025-08-11T08:50:56Z,place_order,,,,,,,,,FAKE-4af68701,,,,
2025-08-11T08:50:56Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-4af68701,,ok,,
2025-08-11T08:51:00Z,place_order,,,,,,,,,FAKE-f8143944,,,,
2025-08-11T08:51:00Z,place_order,LIMIT,ETHUSDT,SELL,1.0,3200.0,,,GTC,FAKE-f8143944,,ok,,
2025-08-11T08:51:05Z,place_order,,,,,,,,,FAKE-4ef01a5f,,,,
2025-08-11T08:51:05Z,place_order,STOP_LIMIT,BTCUSDT,SELL,0.001,,59000.0,58800.0,GTC,FAKE-4ef01a5f,,ok,,
2025-08-11T08:51:10Z,place_order,,,,,,,,,FAKE-d9276cc6,,,,
2025-08-11T08:51:10Z,place_order,,,,,,,,,FAKE-a882c5e4,,,,
2025-08-11T08:51:10Z,place_oco,,BTCUSDT,SELL,0.001,,59000.0,,,,OCO-2473ad81,ok,,
2025-08-11T08:51:16Z,place_order,,,,,,,,,FAKE-1bbf895e,,,,
2025-08-11T08:51:16Z,place_entry,MARKET,BTCUSDT,BUY,0.002,,,,,FAKE-1bbf895e,BRK-f6034976,ok,,
2025-08-11T08:51:16Z,place_order,,,,,,,,,FAKE-587ef001,,,,
2025-08-11T08:51:16Z,place_exit_tp,,BTCUSDT,SELL,0.002,62000.0,,,,FAKE-587ef001,BRK-f6034976,ok,,
2025-08-11T08:51:16Z,place_order,,,,,,,,,FAKE-a25add61,,,,
2025-08-11T08:51:16Z,place_exit_sl,,BTCUSDT,SELL,0.002,,59000.0,,,FAKE-a25add61,BRK-f6034976,ok,,
2025-08-11T08:51:21Z,twap_start,,BTCUSDT,BUY,,,,,,,TWAP-db8db343,,,
2025-08-11T08:51:21Z,place_order,,,,,,,,,FAKE-23202880,,,,
2025-08-11T08:51:21Z,twap_slice,,BTCUSDT,BUY,0.0029999999999999996,,,,,FAKE-23202880,TWAP-db8db343,ok,1,3
2025-08-11T08:51:23Z,place_order,,,,,,,,,FAKE-93c1138f,,,,
2025-08-11T08:51:23Z,twap_slice,,BTCUSDT,BUY,0.0029999999999999996,,,,,FAKE-93c1138f,TWAP-db8db343,ok,2,3
2025-08-11T08:51:25Z,place_order,,,,,,,,,FAKE-4e130cb3,,,,
2025-08-11T08:51:25Z,twap_slice,,BTCUSDT,BUY,0.003,,,,,FAKE-4e130cb3,TWAP-db8db343,ok,3,3
2025-08-11T08:51:25Z,twap_complete,,BTCUSDT,BUY,,,,,,,TWAP-db8db343,ok,,
2025-08-11T08:52:51Z,place_order,,,,,,,,,FAKE-c232d096,,,,
2025-08-11T08:52:51Z,place_order,MARKET,BTCUSDT,BUY,0.001,,,,,FAKE-c232d096,,ok,,
2025-08-11T08:52:51Z,place_order,,,,,,,,,FAKE-7448eb2c,,,,
2025-08-11T08:52:51Z,place_order,,,,,,,,,FAKE-dd7b0b41,,,,
2025-08-11T08:52:51Z,place_oco,,BTCUSDT,SELL,0.001,,59000.0,,,,OCO-d91aaa3d,ok,,
